,0
0,0.7333333333333333
1,0.7534297737089994
2,0.7370329569553379
3,0.7315478392696284
4,0.7449655421348456
5,0.7615567466086846
6,0.7727903125551051
7,0.7799875722911201
8,0.7944013807267465
9,0.8047587145891255
10,0.8071983446617664
11,0.8104924302379786
12,0.8152532174798065
13,0.8166489362655383
14,0.8211453782436686
15,0.8234034973814404
16,0.8259505210644453
17,0.8300115886301709
18,0.8307489877074955
19,0.8329404236932884
20,0.8340713639037655
21,0.8359233536987766
22,0.837086003092524
23,0.8384684925398276
24,0.8388249688903444
25,0.8393457891924363
26,0.8397216815576256
27,0.8406318343791829
28,0.8411021119451979
29,0.8415344635401498
30,0.8415344635401498
31,0.8415344635401498
32,0.8417472931244845
33,0.8421553268142558
34,0.8423456202584276
35,0.8423456202584276
36,0.8424619591952301
37,0.8424619591952301
38,0.8424619591952301
39,0.8424619591952301
40,0.8424619591952301
41,0.8424619591952301
