,0
0,0.4
1,0.36551012682474454
2,0.37382615293594534
3,0.39031828747681246
4,0.4047186599566998
5,0.42578922769420313
6,0.43784501936771697
7,0.4430828789566522
8,0.445784103843386
9,0.4523880371314491
10,0.4613718700987699
11,0.4673136844624848
12,0.4790612642534603
13,0.4943242654520115
14,0.49771810486048745
15,0.5030590206016705
16,0.5163870759430238
17,0.5220440238602088
18,0.5279272836500445
19,0.5367462587548818
20,0.537951035876827
21,0.5455966382814624
22,0.5476309382426048
23,0.5520660611538075
24,0.5551758311560566
25,0.5621393217636238
26,0.5669419062458387
27,0.5691225030123389
28,0.5726216254384124
29,0.5790620153956577
30,0.5836833433617318
31,0.5881864706612725
32,0.5925498077618848
33,0.5963815035161972
34,0.5997238417959514
35,0.6041464008705338
36,0.6061560777517079
37,0.6085938282356892
38,0.610974430953434
39,0.6131158135961947
40,0.6140644487437493
41,0.6140644487437493
