,0
0,0.6666666666666666
1,0.6519652265473765
2,0.6543517690766792
3,0.661310005675703
4,0.663732864195426
5,0.684622338640072
6,0.6929253549288119
7,0.6972061885742363
8,0.7020279576956164
9,0.7073328823217371
10,0.7210854885293801
11,0.7322962595065312
12,0.7411825893507086
13,0.7497656387221447
14,0.754941040874389
15,0.7618341759023832
16,0.7643722266979822
17,0.7656814683548184
18,0.7686158594481298
19,0.772937554747998
20,0.7737878086834608
21,0.7754032513126847
22,0.7766133340145027
23,0.7786883358191528
24,0.7796187242791401
25,0.780360510301191
26,0.7817676067805068
27,0.7824207278838136
28,0.78312505297469
29,0.783733815349631
30,0.7845929816818614
31,0.784976123347087
32,0.7851003385575489
33,0.785483235812528
34,0.7858424153470095
35,0.7860216876295695
36,0.7861908017375315
37,0.7861908017375315
38,0.7861908017375315
39,0.786258080751428
40,0.7863606202271739
41,0.7863606202271739
