,0
0,0.7
1,0.7039318946897725
2,0.681489081969146
3,0.6824731009729929
4,0.6798142739925565
5,0.688820339657301
6,0.6938778351497985
7,0.7091609342675465
8,0.7204286318839663
9,0.7293598634459717
10,0.7410799374252781
11,0.7463382841680767
12,0.753509342450516
13,0.7615624698842559
14,0.771298689382601
15,0.7764750283945558
16,0.7803921235609033
17,0.7819001609950845
18,0.7852196775958704
19,0.7875924614243639
20,0.7882509719380131
21,0.7905401981984987
22,0.792144445015367
23,0.7935029604194662
24,0.7940325295495412
25,0.794731510153381
26,0.7957167687326865
27,0.7971191364633236
28,0.798071677727804
29,0.7987783878774535
30,0.7993548728883447
31,0.8002272677972787
32,0.8002272677972787
33,0.800644542826208
34,0.800644542826208
35,0.8007926802284513
36,0.8011913009493624
37,0.8011913009493624
38,0.8013875940161576
39,0.8013875940161576
40,0.8013875940161576
41,0.8013875940161576
