,0
0,0.6666666666666666
1,0.6771717245458079
2,0.6647737149277849
3,0.6705085351707959
4,0.672249430096701
5,0.6931119181793767
6,0.7011449772156992
7,0.7032835375954691
8,0.7100152826980715
9,0.7153251668573203
10,0.7289950081692197
11,0.7398353922573061
12,0.7490545454261798
13,0.7580728884267598
14,0.7627519452655628
15,0.7695500365317988
16,0.7720543753035725
17,0.7726395452525733
18,0.7762259505520208
19,0.780544691713725
20,0.7809028724108813
21,0.783002908316244
22,0.7842161186465878
23,0.7862579404709993
24,0.7871689064664745
25,0.7879100213287262
26,0.7893157469920341
27,0.7899690226726664
28,0.7906749980390143
29,0.7912823592428606
30,0.792142761401967
31,0.7925271282148837
32,0.7926514752301171
33,0.7930348189975566
34,0.7933948256803461
35,0.7935729181691529
36,0.793742193679509
37,0.793742193679509
38,0.793742193679509
39,0.7938096471814748
40,0.7939114393493552
41,0.7939114393493552
