,50.006 User Interface Design and Implementation,50.007 Machine Learning,50.012 Networks,50.017 Graphics and Visualisation,50.020 Network Security,50.021 Artificial Intelligence,50.033 Foundations of Game Design and Development,50.035 Computer Vision,50.036 Foundations of Distributed Autonomous Systems,50.037 Blockchain Technology,50.038 Computational Data Science,50.039 Theory and Practice of Deep Learning,50.040 Natural Language Processing,50.041 Distributed Systems and Computing,50.042 Foundations of Cybersecurity,50.043 Database Systems,50.044 System Security,50.045 Information Retrieval,50.046 Cloud Computing and Internet of Things,50.047 Mobile Robotics,50.048 Computational Fabrication,Service Design Studio,01.116 AI for Healthcare (Term 7),01.117 Brain-Inspired Computing and its Applications (Term 8),40.230 Sustainable Engineering,40.232 Water Resources Management,40.240 Investment Science,40.242 Derivative Pricing and Risk Management,40.260 Supply Chain Management,40.302 Advanced Topics in Optimisation#,40.305 Advanced Topics in Stochastic Modelling#,40.316 Game Theory,40.317 Financial Systems Design,40.318 Supply Chain Digitalisation and Design,40.319 Statistical and Machine Learning,40.320 Airport Systems Planning and Design,40.321 Airport Systems Modelling and Simulation,40.323 Equity Valuation,40.324 Fundamentals of Investing,01.102 Energy Systems and Management,01.104 Networked Life,01.107 Urban Transportation
ad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23400848579845346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adam,0.0,0.0,0.0,0.0,0.0,0.057514844613253104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
addition,0.0,0.0,0.0,0.0,0.0,0.057514844613253104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
additive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06276224341530072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
address,0.0,0.0,0.0,0.0,0.0468454104482229,0.0,0.0,0.03756745753705899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07930547173924425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05414465714685107,0.02982450271140723,0.0,0.0,0.0,0.0,0.0
admin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1117315070154814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
advanced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03392788856508124,0.0,0.0,0.0,0.0,0.0309165425062786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0413743840326382,0.0,0.0,0.10307659523949797,0.0,0.0,0.0,0.04070053981679956,0.0,0.1030385246713795,0.08455133157255633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adversarial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046336710865497385,0.0,0.0,0.0,0.09029345542370171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0662089652969512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07964794362523088,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09334158047540254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ai,0.0,0.0,0.0,0.0,0.0,0.11940918730974999,0.0,0.0,0.0,0.0,0.0,0.02313503194214587,0.032455953628518386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056294222770744855,0.4252799253612671,0.05410451693618883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07357268494853318,0.0,0.0,0.06013453185244406,0.0,0.0
air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06678347398543531,0.18393171237133296,0.0,0.0,0.0,0.0,0.0
aircraft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08171751534313755,0.0,0.0,0.0,0.0,0.0
